person_id,name,title,organization,type,tickers,age,born,pay,exercised,unexercised
PER-4079,Sam  Faucette,Vice President of Safety & Compliance,,executive,ODFL,<NA>,<NA>,<NA>,0,0
PER-4080,Sam  Ramraj,Vice President of Investor Relations,,executive,EIX,,,,0,0
PER-4081,Sam A. Samad,Executive VP & CFO,,executive,DGX,55,1970,1340233,0,246837
PER-4082,Samantha  Hammock,Executive VP & Chief Human Resources Officer,,executive,VZ,45,1980,,0,0
PER-4083,Samantha  Wellington,"Senior VP, Chief Legal Officer, General Counsel & Secretary",,executive,EBAY,47,1978,2643788,0,0
PER-4084,Samantha Sacks Gallagher J.D.,"Executive VP, General Counsel & Secretary",,executive,VICI,48,1977,2121515,0,0
PER-4085,Sameer  Hassan,Chief Technology & Digital Officer,,executive,WSM,,,,0,0
PER-4086,Sameer  Ralhan,Senior VP & CFO,,executive,VLTO,51,1974,2421530,0,0
PER-4087,Samer  Alkharrat,Executive VP & Chief Revenue Officer,,executive,DAY,56,1969,1100219,0,0
PER-4088,Samir B. Mehta,President of Space & Mission Systems,,executive,LHX,52,1973,1827317,0,0
PER-4089,Samir Jawdat Serhan Ph.D.,Executive Officer,,executive,APD,64,1961,3995372,0,0
PER-4090,Sammy G. Karam,Senior VP of Established Pharmaceutical & Global Commercial Operations,,executive,ABT,62,1963,,0,0
PER-4091,Samrat  Sondhi,Executive VP & Chief Marketing Officer,,executive,EXR,50,1975,1151161,0,0
PER-4092,Samrat S. Khichi Esq.,"Executive VP, Chief Policy Officer & General Counsel",,executive,CVS,58,1967,3386559,0,0
PER-4093,Samuel E. Bottum,Chief Marketing Officer & VP,,executive,SNA,,,,0,0
PER-4094,Samuel James Glaetzer,Executive VP & President of Wine & Spirits Division,,executive,STZ,50,1975,895788,98286,153845
PER-4095,Samuel N. Hazen,CEO & Director,,executive,HCA,65,1960,6846331,0,120152648
PER-4096,Samuel R. Eathington Ph.D.,Executive VP and Chief Technology & Digital Officer,,executive,CTVA,56,1969,1290063,0,503395
PER-4097,Sanat  Chattopadhyay,Executive VP & President of Merck Manufacturing Division,,executive,MRK,65,1960,2488990,12488854,7539200
PER-4098,Sandeep  Bhakhri,Senior VP and Chief Information & Technology Officer,,executive,EOG,,,,0,0
PER-4099,Sandeep  Dadlani,Executive VP and Chief Digital & Technology Officer,,executive,UNH,50,1975,,0,0
PER-4100,Sandeep  Reddy C.F.A.,Executive VP & CFO,,executive,DPZ,54,1971,1549239,0,538835
PER-4101,Sandeep  Singh,Head of CEEMEA & India,,executive,BEN,,,,0,0
PER-4102,Sandeep K. Mor,Senior Vice President of Corporate Development,,executive,SRE,,,,0,0
PER-4103,Sandeep Singh Aujla,Executive VP & CFO,,executive,INTU,49,1976,1771300,4101986,883111
