symbol,name,title,age,born,pay,exercised,unexercised
CRM,Mr. Parker  Harris,"Co-Founder, CTO of Slack & Director",58,1967,2250000,26011968,72521712
CRM,Mr. Srinivas  Tallapragada,"President, Chief Engineering & Customer Success Officer",55,1970,2512428,27424744,0
CRM,Mr. Stephen D. Fisher,"President, CPO, Executive VP and GM of Next Gen CRM & Unified Data",60,1965,<NA>,0,0
CRM,Mr. Sundeep G. Reddy,Executive VP & Chief Accounting Officer,52,1973,<NA>,0,0
CRM,Ms. Robin L. Washington CPA,"President, Chief Operating & Financial Officer and Director",62,1963,200000,0,0
CRWD,Mr. Andy  Nowinski,Vice President of Investor Relations & Strategic Finance,<NA>,<NA>,<NA>,0,0
CRWD,Mr. Anurag  Saha,Chief Accounting Officer,45,1980,<NA>,0,0
CRWD,Mr. Brad  Burns,Chief Communications Officer,<NA>,<NA>,<NA>,0,0
CRWD,Mr. Burt W. Podbere CPA,Chief Financial Officer,59,1966,1409012,0,0
CRWD,Mr. Dmitri  Alperovitch,Co-Founder,44,1981,<NA>,0,0
CRWD,Mr. Elia  Zaitsev,Chief Technology Officer,<NA>,<NA>,<NA>,0,0
CRWD,Mr. George R. Kurtz,"Co-Founder, President, CEO & Director",53,1972,3344619,0,136198624
CRWD,Mr. Justin  Acquaro,Chief Information Officer,<NA>,<NA>,<NA>,0,0
CRWD,Mr. Michael  Sentonas,President,50,1975,1562677,0,3231816
CRWD,Ms. Cathleen Garrigan Anderson J.D.,Chief Legal Officer,<NA>,<NA>,<NA>,0,0
CSCO,Mr. Ahmed Sami  Badri,Head of Investor Relations & Strategic Finance,<NA>,<NA>,<NA>,0,0
CSCO,Mr. Andrew  Ashton,Senior Vice President of Corporate Finance,<NA>,<NA>,<NA>,0,0
CSCO,Mr. Charles H. Robbins,Chairman & CEO,59,1966,6968061,0,0
CSCO,Mr. Fletcher F. Previn,Senior VP & Chief Information Officer,51,1974,<NA>,0,0
CSCO,Mr. Jeetendra I. Patel,President & Chief Product Officer,53,1972,2945368,0,0
CSCO,Mr. Mark  Patterson,Executive VP & CFO,55,1970,<NA>,0,0
CSCO,Mr. Richard Scott Herren,Executive Advisor,63,1962,3074739,0,0
CSCO,Mr. Thimaya  Subaiya,Executive Vice President of Operations,47,1978,2626614,0,0
CSCO,Ms. Deborah L. Stahlkopf,Executive VP & Chief Legal Officer,55,1970,2525966,0,0
CSCO,Ms. M. Victoria Wong,Senior VP & Chief Accounting Officer,58,1967,<NA>,0,0
CSGP,Mr. Andrew C. Florance,"President, Founder, CEO & Director",61,1964,4201110,0,37412300
CSGP,Mr. Christian M. Lown,Chief Financial Officer,55,1970,1044321,0,0
CSGP,Mr. Frank A. Simuro,Chief Technology Officer,58,1967,1901328,0,2273123
CSGP,Mr. Frederick G. Saint,President of Marketplaces,59,1966,1722980,0,1657454
CSGP,Mr. Gene  Boxer,General Counsel & Corporate Secretary,50,1975,<NA>,0,0
CSGP,Mr. Jason  Butler,Chief Information Officer,<NA>,<NA>,<NA>,0,0
CSGP,Mr. Matthew R. Blocher,Vice President of Marketing & Communications,<NA>,<NA>,<NA>,0,0
CSGP,Mr. Richard  Simonelli,Head of Investor Relations,<NA>,<NA>,<NA>,0,0
CSGP,Ms. Cyndi  Eakin,CAO & Cotroller,<NA>,<NA>,<NA>,0,0
CSGP,Ms. Lisa C. Ruggles,Senior Vice President of Global Operations,58,1967,1559089,0,2245088
CSX,Mr. Arthur L. Adams Jr.,Senior Vice President of Sales & Marketing,<NA>,<NA>,<NA>,0,0
CSX,Mr. Kevin S. Boone,Executive VP & CFO,48,1977,1367535,0,4269551
CSX,Mr. Matthew James Korn C.F.A.,Head of Investor Relations,<NA>,<NA>,<NA>,0,0
CSX,Mr. Michael A. Cory,Executive VP & COO,63,1962,1926198,0,0
CSX,Mr. Michael S. Burns,"Senior VP, Chief Legal Officer & Corporate Secretary",<NA>,<NA>,<NA>,0,0
CSX,Mr. Stephen  Fortune,"Executive VP, Chief Digital & Technology Officer",55,1970,1261298,0,9437
CSX,Mr. Stephen F. Angel,"CEO, President & Director",70,1955,<NA>,0,0
CSX,Ms. Angela C. Williams,VP & Chief Accounting Officer,50,1975,<NA>,0,0
CSX,Ms. Diana B. Sorfleet,Executive VP & Chief Administrative Officer,60,1965,1377112,647031,2778827
CSX,Ms. Maryclare  Kenney,Senior VP & Chief Commercial Officer,<NA>,<NA>,<NA>,0,0
CTAS,Mr. David Brock Denton,"Senior VP, Secretary & General Counsel",50,1975,1348498,0,350225
CTAS,Mr. James N. Rozakis,Executive VP & COO,47,1978,2053810,5509757,1138409
CTAS,Mr. Jared S. Mattingley,"VP, Treasurer, Investor Relations & Corporate Controller",<NA>,<NA>,<NA>,0,0
